#Time Flux
-5.784169849678465880e+01 -3.184082031250000000e+00
-5.760900178641196590e+01 1.722656250000000000e+00
-5.737360033819169303e+01 -1.798828125000000000e+00
-5.714610659842117002e+01 -3.762695312500000000e+00
-5.691122140829770615e+01 -1.832519531250000000e+00
-5.667885745203494707e+01 -2.469726562500000000e+00
-5.645298322078247111e+01 -9.072265625000000000e-01
-5.621650322606524242e+01 -1.341308593750000000e+00
-5.598695050105882842e+01 -5.322265625000000000e-01
-5.575659941175661061e+01 -1.122070312500000000e+00
-5.551299125419404845e+01 -1.270507812500000000e+00
-5.528821054260129131e+01 -2.066406250000000000e+00
-5.506184627594018366e+01 -2.344726562500000000e+00
-5.482706722858870307e+01 -1.171386718750000000e+00
-5.459265005107982915e+01 -4.386230468750000000e+00
-5.436185081730110369e+01 -2.321777343750000000e+00
-5.412587462286307982e+01 -2.613281250000000000e+00
-5.389865686090138297e+01 -4.206054687500000000e+00
-5.367053464409045205e+01 -4.519531250000000000e+00
-5.343451973081681672e+01 -3.339843750000000000e+00
-5.320312086091900028e+01 -5.434570312500000000e+00
-5.296455878235718728e+01 -6.872070312500000000e+00
-5.273517071387942678e+01 -5.060058593750000000e+00
-5.250761026158113509e+01 -7.287109375000000000e+00
-5.227608142326818097e+01 -5.808593750000000000e+00
-5.204174977440550265e+01 -6.800781250000000000e+00
-5.181864884692689088e+01 -2.767578125000000000e+00
-5.157510960474900230e+01 -4.243164062500000000e+00
-5.134704185068392235e+01 -3.237304687500000000e+00
-5.111445670568110700e+01 -2.900390625000000000e-01
-5.088816997531358766e+01 -4.261718750000000000e+00
-5.065094302295875650e+01 -1.986816406250000000e+00
-5.042406428956047648e+01 -2.357910156250000000e+00
-5.019928774619648948e+01 -2.705078125000000000e-01
-4.995762631384411634e+01 -2.348632812500000000e+00
-4.972493115240405359e+01 1.423828125000000000e+00
-4.949408763387486943e+01 2.086425781250000000e+00
-4.926291879106418037e+01 1.592773437500000000e+00
-4.902872608223225370e+01 -6.459960937500000000e-01
-4.879459259240459801e+01 6.098632812500000000e-01
-4.856387989197071420e+01 -7.822265625000000000e-01
-4.833910811197972635e+01 -2.588867187500000000e+00
-4.811433627226767840e+01 3.632812500000000000e-01
-4.786978829425089543e+01 2.701660156250000000e+00
-4.764249950503662490e+01 3.144531250000000000e-01
-4.740993565266921905e+01 1.422851562500000000e+00
-4.716928012542740589e+01 -1.021972656250000000e+00
-4.694587571311177499e+01 1.994140625000000000e+00
-4.670725989503517894e+01 -4.344726562500000000e+00
-4.648026228178815700e+01 -7.226562500000000000e-02
-4.624977304595341820e+01 2.246093750000000000e-02
-4.602183077303220671e+01 1.222167968750000000e+00
-4.578611335849359421e+01 3.657226562500000000e+00
-4.553968055184930108e+01 1.219726562500000000e+00
-4.531777528083586049e+01 8.632812500000000000e-01
-4.508824787339116824e+01 2.746093750000000000e+00
-4.485900871329823758e+01 8.046875000000000000e-01
-4.462303307726216417e+01 4.690429687500000000e+00
